
1760864641414 : DELETE | /deletebook/1
1760864657074 : GET | /books
1760886308210 : GET | /books
1760886321378 : GET | /books/
1760886324577 : GET | /books/1
1760886338698 : GET | /books/1
1760886355879 : GET | /book/1
1760886361427 : GET | /book
1760886366042 : GET | /book/2
1760886368731 : GET | /book
1760886370282 : GET | /book/
1760886382965 : POST | /book/addbook
1760886390000 : GET | /book/
1760886403038 : GET | /book/deletebook/3
1760886408199 : DELETE | /book/deletebook/3
1760886416318 : DELETE | /book
1760886422427 : GET | /book
